#step	#e_xz	#s_xz	#dW	#W	#We	#Wp	#dWp	#dWe	#Delta_Ep	#Delta_Ek	#Delta_U	#Delta_T	#Delta_Q	#Delta_Etot	#Delta_Ttally	#dQ	#dU	#Beta_0_diff	#Beta_0_int	#Beta_1_diff	#Beta_1_int
10000	0.0049990000000000034	0.156351	78175.50000000006	436381.6109000004	409671.3486175415	26710.26228245892	964.2735831952741	77211.22641680483	140453.31702601936	-59692.659736058224	70226.65851300968	-0.047000000000025466	-112531.46268006097	70226.65851300968	-0.047000000000025466	138868.61351998258	210679.97553902905	144.01370725081912	-4.21304221913097	6.59992982475476	9.495357515582638
11000	0.005499000000000004	0.17171	85855.00000000007	522236.61090000044	492535.80173251923	29700.80916748124	2990.5468850223187	82864.45311497775	140453.31702601936	-45647.32803345629	70226.65851300968	-0.03500000000002501	-83800.02540005988	70226.65851300968	-0.03500000000002501	28731.43728000109	0.0	9.607419105815712	-2.8214728065998513	38.31621495516061	12.397302878538268
12000	0.005999000000000004	0.185806	92903.00000000009	615139.6109000006	580384.7059682144	34754.90493178617	5054.095764304933	87848.9042356952	351133.2925650484	-17556.66462825242	316019.96330854355	-0.012000000000000455	-28731.43728000109	316019.96330854355	-0.012000000000000455	55068.58812005879	245793.30479553388	10.895833931162585	-0.8266872643269373	-19.354939288319546	7.779857572395891
13000	0.006499000000000005	0.200552	100276.0000000001	715415.6109000007	672545.0501218875	42870.56077811328	8115.655846327107	92160.34415367304	351133.2925650484	42135.9951078058	386246.6218215532	0.036000000000001364	86194.31184000327	386246.6218215532	0.036000000000001364	114925.74912000436	70226.65851300966	14.160993430003094	2.0105711302943368	17.863632139182695	9.688776945752162
14000	0.006999000000000005	0.214079	107039.50000000009	822455.1109000008	767490.0837065168	54965.027193484086	12094.466415370807	94945.0335846293	526699.9388475725	28090.66340520387	561813.2681040774	0.02400000000000091	57462.87456000218	561813.2681040774	0.02400000000000091	-28731.43728000109	175566.64628252422	-2.375585353933963	1.0454443032971736	-8.041577050387247	5.78740216458286
15000	0.007499000000000006	0.227189	113594.5000000001	936049.6109000009	864336.3572670824	71713.2536329185	16748.22643943441	96846.27356056566	667153.2558735919	24579.330479553388	667153.2558735919	0.02199999999999136	52674.30167997931	667153.2558735919	0.02199999999999136	-4788.572880022868	105339.98776951444	-0.2859152219692928	0.7345127854553269	0.20694366433344036	4.484117515465481
16000	0.007999000000000006	0.241059	120529.5000000001	1.056579110900001e6	969331.120337341	87247.99056266008	15534.736929741586	104994.76307025854	702266.5851300968	-66715.32558735918	596926.5973605822	-0.05299999999999727	-126897.18131999347	596926.5973605822	-0.05299999999999727	-179571.48299997277	-70226.65851300966	-11.559351395013282	-1.4544424519308325	0.7199784305084516	3.8139025331528518
17000	0.008499000000000007	0.254779	127389.50000000012	1.1839686109000011e6	1.0848298541447027e6	99138.75675529854	11890.76619263846	115498.73380736168	912946.5606691258	56181.32681040774	948059.8899256305	0.04699999999996862	112531.46267992487	948059.8899256305	0.04699999999996862	239428.64399991833	351133.2925650483	20.135678401291578	1.1350905171998795	1.3190782814803477	3.5146717092119766
18000	0.008999000000000007	0.268996	134498.00000000012	1.3184666109000011e6	1.2101850987495424e6	108281.51215045905	9142.755395160508	125355.24460483971	1.0885132069516499e6	-136941.98410036886	912946.5606691258	-0.11000000000001364	-263371.50840003265	912946.5606691258	-0.11000000000001364	-375902.9710799575	-35113.329256504774	-41.114845014767916	-2.432285098069866	-22.563399424712586	1.3127683480567316
19000	0.00949899999999998	0.282645	141322.49999999226	1.4597891108999935e6	1.3330765070660023e6	126712.60383399135	18431.0916835323	122891.40831645997	1.1587398654646596e6	3511.332925650484	1.1587398654646596e6	0.003999999999962256	9577.14575990963	1.1587398654646596e6	0.003999999999962256	272948.6541599423	245793.30479553388	14.809142011040768	0.07558163489763682	9.140958780804679	2.4514245765338494
20000	0.00999899999999998	0.296451	148225.50000000015	1.6080146108999937e6	1.4625561498279157e6	145458.46107207806	18745.85723808671	129479.64276191336	1.299193182490679e6	45647.32803345629	1.3343065117471837e6	0.03899999999998727	93377.17115996951	1.3343065117471837e6	0.03899999999998727	83800.02540005988	175566.6462825241	4.4703223936753345	0.6419507704931579	3.0118056699389597	2.5236432972495164
21000	0.01049899999999998	0.310858	155429.00000000015	1.763443610899994e6	1.60578677464755e6	157656.83625244396	12198.375180365896	143230.62481963425	1.4045331702601935e6	-7022.665851300968	1.3694198410036885e6	-0.006000000000028649	-14365.718640068593	1.3694198410036885e6	-0.006000000000028649	-107742.8898000381	35113.329256504774	-8.832560747390154	-0.09112017582964722	1.0306930847391877	2.4081293287423264
22000	0.010998999999999981	0.325155	162577.50000000015	1.9260211108999941e6	1.7565326222145474e6	169488.4886854466	11831.65243300263	150745.8475669974	1.509873158029708e6	133430.65117471837	1.6503264750557274e6	0.1099999999999568	263371.50839989656	1.6503264750557274e6	0.1099999999999568	277737.22703996516	280906.6340520389	23.47408602582498	1.553919740760019	13.473020264124832	3.1805472361289095
23000	0.011498999999999981	0.338952	169476.00000000015	2.0954971108999944e6	1.906598761453469e6	188898.34944652516	19409.86076107857	150066.1392389217	1.6854398043122322e6	-24579.330479553388	1.6152131457992224e6	-0.019000000000005457	-45491.44236001306	1.6152131457992224e6	-0.019000000000005457	-308862.95075990964	-35113.32925650501	-15.912682453614197	-0.24082498599539717	-5.372198326764817	2.3017274847276696
24000	0.011998999999999982	0.352852	176426.00000000015	2.2719231108999946e6	2.0640624891637685e6	207860.62173622588	18962.27228970072	157463.72771029943	1.6854398043122322e6	21067.9975539029	1.6854398043122322e6	0.016999999999995907	40702.8694799902	1.6854398043122322e6	0.016999999999995907	86194.31184000327	70226.65851300978	4.545568723154522	0.1958180878129093	10.14612860672249	3.0173400369390246
25000	0.012498999999999982	0.36641	183205.00000000017	2.4551281108999946e6	2.2280034423696934e6	227124.66853030134	19264.04679407546	163940.95320592495	1.966346438364271e6	73737.99143866016	2.0365730968772804e6	0.06199999999995498	148445.7592798922	2.0365730968772804e6	0.06199999999995498	107742.889799902	351133.2925650482	5.592952039186162	0.653587125698271	-3.1242346641130174	2.496429722810851
26000	0.012998999999999983	0.381257	190628.50000000017	2.6457566108999946e6	2.407654951325902e6	238101.65957409304	10976.991043791699	179651.50895620836	2.10679975539029e6	17556.66462825242	2.10679975539029e6	0.01599999999996271	38308.583039910714	2.10679975539029e6	0.01599999999996271	-110137.17623998149	70226.65851300978	-10.033457784615049	0.16089170948424136	0.9351073719618469	2.4244494539945887
27000	0.013498999999999983	0.394766	197383.00000000017	2.8431396108999946e6	2.5731136581510957e6	270025.9527488993	31924.293174806255	165458.70682519395	2.0716864261337852e6	31601.996330854352	2.0716864261337852e6	0.025999999999953616	62251.44743988894	2.0716864261337852e6	0.025999999999953616	23942.86439997823	-35113.32925650501	0.7499888648708832	0.23053875676082658	8.032728939441578	3.0874981597838183
28000	0.013998999999999984	0.408436	204218.0000000002	3.0473576108999946e6	2.7643891038070805e6	282968.50709291484	12942.554344015545	191275.4456559848	2.457933047955339e6	31601.996330854352	2.457933047955339e6	0.026999999999986812	64645.73387996842	2.457933047955339e6	0.026999999999986812	2394.286440079479	386246.6218215537	0.18499334647851512	0.22845557812813957	-13.879357243304467	2.3114596869603448
29000	0.014498999999999984	0.42158	210790.0000000002	3.2581476108999946e6	2.9402398197769998e6	317907.791122996	34939.28403008118	175850.71596991923	2.598386364981358e6	-143964.64995166982	2.457933047955339e6	-0.1150000000000091	-275342.94060002174	2.457933047955339e6	-0.1150000000000091	-339988.67447999015	0.0	-9.730842629381728	-0.866109445218012	-3.6978054378205174	1.6510184305032225
30000	0.014998999999999985	0.4344	217200.00000000017	3.4753476108999946e6	3.125439567735583e6	349908.04316441284	32000.252041416825	185199.7479585833	2.7739530112638823e6	0.0	2.738839682007377e6	0.0009999999999763531	2394.2864399433824	2.738839682007377e6	0.0009999999999763531	277737.2270399651	280906.6340520382	8.679219984908224	0.006842616186500087	6.688403351039692	2.111704002715282
31000	0.015498999999999985	0.447468	223734.0000000002	3.6990816108999946e6	3.32211571655263e6	376965.894347366	27057.851182953164	196676.148817047	3.0899729745724257e6	-42135.9951078058	3.019746316059416e6	-0.03200000000003911	-76617.16608009364	3.019746316059416e6	-0.03200000000003911	-79011.45252003703	280906.6340520391	-2.920093394918787	-0.2032469441638467	-5.033071017031608	1.5988664698804143
32000	0.015998999999999985	0.45924	229620.0000000002	3.9287016108999946e6	3.4982342297180574e6	430467.3811819388	53501.4868345728	176118.51316542737	3.2655396208549496e6	73737.99143866016	3.300652950111455e6	0.06199999999995498	148445.7592798922	3.300652950111455e6	0.06199999999995498	225062.92535998585	280906.63405203866	4.206666742849277	0.3448478694769	3.248064709776489	1.8038403233629565
33000	0.016498999999999986	0.471179	235589.50000000023	4.164291110899995e6	3.681673113117515e6	482617.9977824816	52150.616600542795	183438.88339945767	3.441106267137474e6	24579.330479553388	3.441106267137474e6	0.02199999999999136	52674.30167997931	3.441106267137474e6	0.02199999999999136	-95771.45759991289	140453.3170260191	-1.8364396021142362	0.10914284573307581	-0.01218153623757745	1.607605081052501
34000	0.016998999999999986	0.483201	241600.5000000002	4.405891610899995e6	3.874964227114824e6	530927.3837851728	48309.38600269123	193291.113997309	3.651786242676503e6	42135.9951078058	3.6868995719330083e6	0.036000000000001364	86194.31184000327	3.6868995719330083e6	0.036000000000001364	33520.01016002396	245793.30479553435	0.6938612334703782	0.162346705919542	0.6070705465570618	1.5165658720906952
35000	0.017498999999999987	0.495366	247683.00000000023	4.653574610899995e6	4.078774802955732e6	574799.8079442647	43872.4241590919	203810.5758409081	4.0029195352415517e6	49158.660959106775	4.0380328644980565e6	0.03999999999996362	95771.4575999129	4.0380328644980565e6	0.03999999999996362	9577.145759909632	351133.2925650482	0.21829534026158692	0.16661706610938767	-2.1396845194770204	1.2374972889184153
36000	0.017998999999999987	0.507228	253614.0000000002	4.907188610899995e6	4.274953319201225e6	632235.2916987715	57435.4837545068	196178.5162454932	4.1784861815240756e6	-105339.98776951451	4.0380328644980565e6	-0.08600000000001273	-205908.6338400305	4.0380328644980565e6	-0.08600000000001273	-301680.0914399434	0.0	-5.252503708846562	-0.3256835493741081	-0.836871012445713	1.0490510752410103
37000	0.018498999999999988	0.518835	259417.50000000023	5.166606110899995e6	4.470470999041401e6	696135.1118585963	63899.8201598248	195517.67984017543	4.248712840037085e6	-52669.993884757256	4.1784861815240756e6	-0.04099999999999682	-98165.74403999238	4.1784861815240756e6	-0.04099999999999682	107742.88980003812	140453.3170260191	1.6861219566902381	-0.14101536090874908	3.5478514995344996	1.278421631340875
38000	0.018998999999999988	0.53074	265370.00000000023	5.431976110899995e6	4.677722662546426e6	754253.4483535711	58118.33649497479	207251.6635050252	4.4945061448326195e6	-42135.9951078058	4.424279486319609e6	-0.03200000000003911	-76617.16608009364	4.424279486319609e6	-0.03200000000003911	21548.577959898743	245793.30479553342	0.37077072847330966	-0.10158013363722514	0.707612702712529	1.2344384510706707
39000	0.01949899999999999	0.543551	271775.50000000023	5.703751610899995e6	4.909548819271347e6	794202.791628651	39949.34327507985	231826.1567249205	4.775412778884658e6	-14045.331702601936	4.740299449628153e6	-0.011000000000024102	-26337.150840057704	4.740299449628153e6	-0.011000000000024102	50280.01524003594	316019.9633085439	1.2585942876162446	-0.03316174548574526	0.1510801289005751	1.1799442413317003
40000	0.01999899999999999	0.555294	277647.00000000023	5.981398610899995e6	5.121887313894204e6	859511.2970057937	65308.50537714269	212338.4946228573	4.915866095910678e6	-66715.32558735918	4.845639437397668e6	-0.05400000000003047	-129291.46776007295	4.845639437397668e6	-0.05400000000003047	-102954.31692001525	105339.98776951525	-1.5764304561171019	-0.15042439606143004	1.0619243988202223	1.1709767041438575
41000	0.02049899999999999	0.56814	284070.00000000023	6.265468610899995e6	5.368230548864974e6	897238.0620350242	37726.765029230504	246343.23497076984	5.30211271773223e6	-10533.99877695145	5.266999388475725e6	-0.007000000000005002	-16760.005080011975	5.266999388475725e6	-0.007000000000005002	112531.46268006097	421359.9510780573	2.9828018011316946	-0.018679552048871662	-0.6562579213673163	1.0941457556065415
42000	0.02099899999999999	0.579825	289912.50000000023	6.555381110899995e6	5.585755097135652e6	969626.0137643465	72387.95172932232	217524.54827067815	5.372339376245241e6	-14045.331702601936	5.337226046988735e6	-0.011000000000024102	-26337.150840057704	5.337226046988735e6	-0.011000000000024102	-9577.145760045729	70226.65851300955	-0.13230303567446153	-0.027162174349891738	2.902536827020567	1.2291521639815035
43000	0.02149899999999999	0.591971	295985.5000000003	6.851366610899995e6	5.823963086123013e6	1.0274035247769854e6	57777.51101263892	238207.98898736108	5.653246010297279e6	42135.9951078058	5.653246010297279e6	0.03499999999996817	83800.02539992378	5.653246010297279e6	0.03499999999996817	110137.17623998148	316019.9633085439	1.906229159229251	0.08156486071829852	1.5594772317507322	1.247728468014459
44000	0.02199899999999999	0.604123	302061.50000000023	7.153428110899995e6	6.061661005873e6	1.0917671050269988e6	64363.58025001339	237697.9197499873	5.828812656579803e6	-17556.66462825242	5.793699327323298e6	-0.012000000000000455	-28731.43728000109	5.793699327323298e6	-0.012000000000000455	-112531.46267992487	140453.3170260191	-1.7483717071488027	-0.026316452609451518	0.7624920817552956	1.2191220455060194
45000	0.02249899999999999	0.616362	308181.00000000023	7.461609110899995e6	6.311899661399661e6	1.1497094495003386e6	57942.34447333985	250238.65552666038	6.039492632118832e6	31601.996330854352	6.074605961375337e6	0.025999999999953616	62251.44743988894	6.074605961375337e6	0.025999999999953616	90982.88471989003	280906.6340520391	1.5702313316257446	0.05414537339581169	2.0409469403203575	1.2605398673503068
46000	0.02299899999999999	0.627881	313940.5000000003	7.775549610899995e6	6.554562037869557e6	1.220987573030443e6	71278.12353010429	242662.37646989617	6.355512595427375e6	-14045.331702601936	6.320399266170871e6	-0.009000000000014552	-21548.57796003484	6.320399266170871e6	-0.009000000000014552	-83800.02539992379	245793.30479553435	-1.175676648734038	-0.017648482618502104	-0.21960216431408597	1.1741329710759878
47000	0.023498999999999992	0.639197	319598.5000000003	8.095148110899995e6	6.797255968615569e6	1.2978921422844308e6	76904.56925398787	242693.93074601237	6.706645887992424e6	-3511.332925650484	6.671532558735919e6	-0.0030000000000427463	-7182.859320102347	6.671532558735919e6	-0.0030000000000427463	14365.718639932493	351133.29256504774	0.18679928617099123	-0.0055342497932530325	-0.2232516753121887	1.0913331290772001
48000	0.023998999999999993	0.650548	325274.0000000003	8.420422110899996e6	7.036073507349018e6	1.3843486035509817e6	86456.46126655093	238817.53873344883	6.847099205018444e6	59692.659736058224	6.882212534274948e6	0.049999999999954525	119714.32199989112	6.882212534274948e6	0.049999999999954525	126897.18131999347	210679.97553902864	1.4677582156498534	0.08647700564208528	2.793211776693374	1.1976202340741453
49000	0.024498999999999993	0.661803	330901.5000000003	8.751323610899996e6	7.289588954670113e6	1.4617346562298874e6	77386.05267890566	253515.44732109457	7.163119168326987e6	-3511.332925650484	7.128005839070482e6	-0.0020000000000095497	-4788.572880022864	7.128005839070482e6	-0.0020000000000095497	-124502.89487991399	245793.30479553435	-1.6088544456002691	-0.003275952211719173	-0.5090671808640594	1.1072660773631875
50000	0.024998999999999993	0.67229	336145.0000000003	9.087468610899996e6	7.528612340089631e6	1.558856270810369e6	97121.61458048155	239023.3854195187	7.444025802379026e6	87783.3231412621	7.514252460892035e6	0.07200000000000273	172388.62368000654	7.514252460892035e6	0.07200000000000273	177177.1965600294	386246.6218215525	1.8242818277409132	0.11058660564670955	1.308417032473999	1.1197984101385576
51000	0.025498999999999994	0.682971	341485.50000000035	9.428954110899996e6	7.774095636429173e6	1.6548584744708277e6	96002.20366045879	245483.29633954167	7.795159094944074e6	31601.996330854352	7.830272424200579e6	0.027999999999963165	67040.02031991181	7.830272424200579e6	0.027999999999963165	-105348.60336009473	316019.9633085439	-1.097356095415188	0.04051102940470431	-0.8320961771999431	1.0065644480879128
52000	0.025998999999999994	0.693047	346523.5000000003	9.775477610899996e6	8.010601759607696e6	1.7648758512923047e6	110017.37682147697	236506.12317852303	8.076065728996113e6	21067.9975539029	8.076065728996113e6	0.01999999999998181	47885.72879995645	8.076065728996113e6	0.01999999999998181	-19154.29151995536	245793.30479553435	-0.17410241975716848	0.027132633020556556	0.7414819916755687	0.9900399563087743
53000	0.026498999999999995	0.703606	351803.0000000003	1.0127280610899996e7	8.254056555033485e6	1.8732240558665157e6	108348.20457421103	243454.79542578943	8.216519046022132e6	-31601.996330854352	8.181405716765627e6	-0.025000000000034106	-59857.16100008166	8.181405716765627e6	-0.025000000000034106	-107742.8898000381	105339.98776951432	-0.9944132459180869	-0.03195408515741751	1.2803176847793019	1.006829763491297
54000	0.026998999999999995	0.712895	356447.5000000003	1.0483728110899996e7	8.486585319835782e6	1.997142791064219e6	123918.73519770335	232528.76480229665	8.672992326356694e6	52669.993884757256	8.708105655613199e6	0.04499999999995907	107742.88979990201	8.708105655613199e6	0.04499999999995907	167600.05079998367	526699.9388475716	1.3524996888694025	0.053948515990931714	-0.02140425370995147	0.9430298892564982
55000	0.027498999999999996	0.722923	361461.50000000035	1.0845189610899996e7	8.726844328517526e6	2.118345282382476e6	121202.49131825706	240259.00868174434	8.813445643382715e6	87783.3231412621	8.883672301895723e6	0.07200000000000273	172388.62368000654	8.883672301895723e6	0.07200000000000273	64645.733880104526	175566.64628252387	0.5333696789313996	0.08137890697692268	2.0671240737098815	1.0073456628771629
56000	0.027998999999999996	0.731649	365824.50000000035	1.1211014110899996e7	8.943939176099163e6	2.267074934800841e6	148729.65241836477	217094.84758163616	9.094352277434753e6	98317.32191821355	9.164578935947763e6	0.08199999999999363	196331.48807998476	9.164578935947763e6	0.08199999999999363	23942.86439997822	280906.63405204006	0.16098245380570672	0.08660123450980335	0.7319369646728042	0.9892776937385394
57000	0.028498999999999997	0.741319	370659.5000000003	1.1581673610899996e7	9.18197137256567e6	2.3997022383343345e6	132627.30353349354	238032.1964665074	9.234805594460772e6	31601.996330854352	9.269918923717277e6	0.026999999999986812	64645.73387996842	9.269918923717277e6	0.026999999999986812	-131685.75420001632	105339.98776951432	-0.9929007880851665	0.026939064708644808	1.0075885920181027	0.990289704739446
58000	0.028998999999999997	0.750173	375086.50000000035	1.1956760110899996e7	9.41191428770778e6	2.5448458231922244e6	145143.58485788992	229942.91514210962	9.621052216282325e6	-63203.992661708704	9.550825557769315e6	-0.049000000000035016	-117320.03556008384	9.550825557769315e6	-0.049000000000035016	-181965.76944005227	280906.6340520382	-1.2536948816457507	-0.046101038613380114	-0.6048211057901189	0.8993136231332843
59000	0.029498999999999997	0.758822	379411.00000000035	1.2336171110899996e7	9.632115683143375e6	2.704055427756628e6	159209.60456440365	220201.39543559588	9.796618862564849e6	-31601.996330854352	9.72639220405184e6	-0.023000000000024556	-55068.58812005879	9.72639220405184e6	-0.023000000000024556	62251.44744002505	175566.64628252387	0.39100309061343735	-0.020365184661079776	1.671355204263819	0.9447699527548428
60000	0.029998999999999998	0.76734	383670.00000000035	1.2719841110899996e7	9.85232868069493e6	2.867512430205074e6	163457.00244844612	220212.9975515548	1.0077525496616887e7	136941.98410036886	1.0182865484386403e7	0.11199999999996635	268160.0812799194	1.0182865484386403e7	0.11199999999996635	323228.66939997824	456473.2803345639	1.9774537924854194	0.09351662383578284	1.5320566590250468	0.9782470960702715
61000	0.030499	0.775559	387779.50000000035	1.3107620610899996e7	1.0068861584534224e7	3.03875902636578e6	171246.59616070567	216532.90383929387	1.0323318801412422e7	-31601.996330854352	1.0253092142899413e7	-0.025000000000034106	-59857.16100008166	1.0253092142899413e7	-0.025000000000034106	-328017.24228000105	70226.65851300955	-1.9154672246575613	-0.019697896569201852	-0.06110720462549102	0.9196751972606435
62000	0.030999	0.783583	391791.50000000035	1.3499412110899996e7	1.0287320250649067e7	3.2120918602509373e6	173332.83388515748	218458.66611484252	1.0709565423233977e7	35113.32925650484	1.0744678752490481e7	0.029999999999972715	71828.59319993466	1.0744678752490481e7	0.029999999999972715	131685.75420001632	491586.6095910687	0.759727694103619	0.02236193618520089	0.1839850182688234	0.8799754411097815
63000	0.031499	0.791258	395629.00000000035	1.3895041110899996e7	1.0492989791913051e7	3.402051318986954e6	189959.45873601688	205669.54126398452	1.0850018740259996e7	0.0	1.0850018740259996e7	0.0019999999999527063	4788.572879886765	1.0850018740259996e7	0.0019999999999527063	-67040.0203200479	105339.98776951432	-0.35291751601173055	0.0014075545695509033	1.1752454623524915	0.8964623568430043
64000	0.031999	0.799545	399772.50000000035	1.4294813610899996e7	1.071944007268515e7	3.5753735382148544e6	173322.21922790026	226450.28077209927	1.1060698715799024e7	-28090.66340520387	1.102558538654252e7	-0.020000000000038654	-47885.72880009255	1.102558538654252e7	-0.020000000000038654	-52674.30167997931	175566.64628252387	-0.303909688640198	-0.013393210048760772	0.9896685652977396	0.9009806838716422
65000	0.032499	0.806181	403090.5000000004	1.4697904110899996e7	1.0910723014973281e7	3.7871810959267234e6	211807.557711869	191282.94228813052	1.1306492020594558e7	56181.32681040774	1.1341605349851063e7	0.04699999999996862	112531.46267992487	1.1341605349851063e7	0.04699999999996862	160417.1914800174	316019.96330854297	0.7573723676953957	0.02971377914854859	1.1684556058577582	0.9159398866507185
66000	0.032999	0.813475	406737.50000000035	1.5104641610899996e7	1.1110897453244684e7	3.9937441576553206e6	206563.06172859715	200174.4382714033	1.1587398654646596e7	161521.31457992227	1.1727851971672615e7	0.13199999999994816	316045.81007987587	1.1727851971672615e7	0.13199999999994816	203514.34739995102	386246.6218215525	0.9852407574561814	0.07913521688014752	1.0844398979364425	0.9246549862811656
67000	0.033499	0.819482	409741.0000000004	1.5514382610899996e7	1.1285694340832993e7	4.228688270067012e6	234944.11241169134	174796.88758830912	1.1868305288698634e7	49158.660959106775	1.1868305288698634e7	0.04199999999997317	100560.03047993575	1.1868305288698634e7	0.04199999999997317	-215485.7795999401	140453.3170260191	-0.9171788873021236	0.023780431201740528	0.22899873004591176	0.8860046220957153
68000	0.033999	0.826057	413028.5000000004	1.5927411110899996e7	1.1476777534598224e7	4.4506335763017805e6	221945.3062347686	191083.19376523048	1.2078985264237665e7	-3511.332925650484	1.2078985264237665e7	-0.0010000000000331966	-2394.286440079482	1.2078985264237665e7	-0.0010000000000331966	-102954.31692001523	210679.9755390305	-0.4638724678012003	-0.0005379653029241279	0.4478319872005603	0.8641537197537817
69000	0.034499	0.831271	415635.50000000035	1.6343046610899996e7	1.163733375971078e7	4.705712851189225e6	255079.27488744445	160556.22511255555	1.2465231886059217e7	73737.99143866016	1.2535458544572227e7	0.06099999999997863	146051.47283994884	1.2535458544572227e7	0.06099999999997863	148445.75928002832	456473.28033456206	0.5819593118473897	0.031037055906001317	0.4218609253650617	0.8401786645712063
70000	0.034999	0.836271	418135.50000000035	1.6761182110899996e7	1.1782853305602124e7	4.978328805297881e6	272615.9541086564	145519.54589134455	1.2675911861598248e7	-91294.65606691258	1.2570571873828731e7	-0.07300000000003593	-174782.91012008602	1.2570571873828731e7	-0.07300000000003593	-320834.3829600349	35113.329256504774	-1.1768730997752248	-0.03510875174297126	0.22811499784299172	0.8066617300724672
71000	0.035499	0.841479	420739.5000000004	1.7181921610899996e7	1.193187125327559e7	5.250050357624416e6	271721.5523265349	149017.94767346606	1.2816365178624267e7	35113.32925650484	1.2851478507880772e7	0.03099999999994907	74222.87963987805	1.2851478507880772e7	0.03099999999994907	249005.78975996407	280906.63405204006	0.9164005859230752	0.01413755575355338	1.4310188219469886	0.8389759492996883
72000	0.035999	0.846406	423203.00000000035	1.7605124610899996e7	1.208466521471005e7	5.520459396189958e6	270409.0385655416	152793.9614344593	1.3062158483419798e7	-17556.66462825242	1.3027045154163295e7	-0.013000000000033651	-31125.72372008057	1.3027045154163295e7	-0.013000000000033651	-105348.60335995862	175566.64628252387	-0.38958980039575963	-0.0056382488279077886	0.5261945055990827	0.8236549545414267
